De_ionic (eV), coupling (eV), mean_yield (%), std (%)
3.10, 0.030, 56.26, 1.31
3.10, 0.031, 59.50, 1.24
3.10, 0.032, 61.42, 1.48
3.10, 0.033, 63.12, 0.83
3.10, 0.034, 65.66, 0.33
3.20, 0.030, 56.79, 0.48
3.20, 0.031, 58.56, 1.92
3.20, 0.032, 61.81, 1.27
3.20, 0.033, 63.02, 0.88
3.20, 0.034, 65.57, 0.60
3.30, 0.030, 55.35, 1.07
3.30, 0.031, 59.06, 1.32
3.30, 0.032, 61.32, 0.88
3.30, 0.033, 63.38, 1.08
3.30, 0.034, 65.31, 1.49
